tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
CASA URBANA EN ALQUILER,"Lima, Lima, La Molina",263.66,433.0,3,3,3,2,7420,2000
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",90.0,90.0,13,3,2,1,1750,470
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",30.0,30.0,7,1,1,0,220745,59500
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",134.83,203.73,7,3,3,2,5936,1600
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lima",32.6,32.6,3,1,1,0,1855,500
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Rimac",54.0,54.0,14,2,1,0,1100,295
CASA URBANA EN VENTA,"Lima, Lima, Carabayllo",250.0,480.0,2,16,12,1,775390,209000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",103.83,149.22,2,3,3,0,352450,95000
CASA URBANA EN VENTA,"Lima, Lima, Ate",120.0,120.0,2,3,3,1,964600,260000
CASA URBANA EN VENTA,"Lima, Lima, Breña",328.0,750.0,3,15,6,0,2578450000,695000000
CASA URBANA EN ALQUILER,"Lima, Lima, Breña",328.0,750.0,3,18,6,0,14098,3800
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",107.4,107.4,2,3,3,1,4266,1150
DEPARTAMENTO EN VENTA,"Lima, Lima, Comas",50.0,50.0,12,3,1,0,155000,41666
CASA URBANA EN VENTA,"Cusco, Urubamba, Urubamba",719.23,137.97,0,3,3,0,1072190,289000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",71.0,71.0,6,1,1,1,2671,720
CASA URBANA EN VENTA,"Arequipa, Arequipa, Arequipa",131.61,207.38,3,4,3,1,1001700,270000
DEPARTAMENTO EN ALQUILER,"Lima, Prov. Const. Del Callao, La Perla",37.62,37.62,17,1,1,0,1250,336
DEPARTAMENTO FLAT EN ALQUILER,"Cusco, Cusco, Cusco",85.0,85.0,5,3,2,0,2000,537
