direccion,distrito,metraje,dormitorios,precio
Av. Aramburú 535. San Isidro,"Limatambo, San Isidro",34 a 109 m² tot.,1 a 2 dorm.,"S/ 270,376"
calle fermin tanguis 160,"Santa Catalina, La Victoria",34 a 73 m² tot.,1 a 3 dorm.,"S/ 338,000"
Av. Caminos del Inca 236,"Santiago de Surco, Lima",34 a 95 m² tot.,1 a 3 dorm.,"S/ 352,450"
Casimiro ulloa 328,"Miraflores, Lima",32 a 74 m² tot.,1 a 2 dorm.,"S/ 379,957"
Av. Javier Prado Este 1507,"Santa Catalina, La Victoria",34 a 78 m² tot.,1 a 3 dorm.,"S/ 316,700"
Av. Arequipa 748 -768,"Santa Beatriz, Lima Cercado",48 a 71 m² tot.,1 a 2 dorm.,"S/ 350,000"
Av. del Ejercito 1190,"Santa Cruz, Miraflores",44 a 188 m² tot.,1 a 3 dorm.,"S/ 414,449"
Avenida Manuel Roaud y Paz Soldan 364,"San Isidro, Lima",35 a 66 m² tot.,1 a 2 dorm.,"S/ 403,322"
Av. Javier Prado Este 1035,"Santa Catalina, La Victoria",39 a 68 m² tot.,1 a 3 dorm.,"S/ 279,000"
AV. PETIT THOUARS 1598 - Lince,"Risso, Lince",33 a 71 m² tot.,1 a 3 dorm.,"S/ 271,900"
AVENIDA LA MAR,"Miraflores, Lima",63 m² tot.,2 dorm.,"S/ 590,000"
Calle Berlin al 400,"Miraflores, Lima",60 m² tot.,NULL,"S/ 237,000 · USD 75,000"
Lince,"Lobaton, Lince",79 m² tot.,3 dorm.,"S/ 647,000 · USD 177,360"
Residencial Los Girasoles,"Los Girasoles, Chaclacayo",200 m² tot.,3 dorm.,"S/ 486,000 · USD 130,000"
Calle Santa Inés,"Pueblo Libre, Lima",80 m² tot.,3 dorm.,"S/ 443,430 · USD 117,000"
"El Mastil 215, La Molina","Las Lagunas, La Molina",210 m² tot.,3 dorm.,"S/ 1,217,700 · USD 330,000"
CASA CERCA HOSPITAL REBAGLIATI 153M2 + 1MINIDPTO.,"Santa Beatriz, Jesús María",153 m² tot.,3 dorm.,"S/ 1,178,000 · USD 318,000"
AV. Ayacucho al 900,"Los Rosales, Santiago de Surco",194 m² tot.,2 dorm.,"S/ 855,000 · USD 225,000"
Playa Gaviotas,"Las Gaviotas, Asia",199 m² tot.,4 dorm.,"S/ 1,184,000 · USD 320,000"
Calle Montemar 167 (incluye 2 Cocheras Paralelas),"Chacarilla Del Estanque, Santiago de Surco",129 m² tot.,3 dorm.,"S/ 1,009,800 · USD 270,000"
Av. Encalada 1344. Surco,"Santiago de Surco, Lima",45 a 128 m² tot.,1 a 3 dorm.,"S/ 319,919"
Calle San Martin 885,"Miraflores, Lima",65 a 83 m² tot.,3 dorm.,"S/ 653,000"
Jr Pezet y Monel 2744,"S/n, Lince",58 a 138 m² tot.,2 a 4 dorm.,"S/ 490,010"
Mz. B SubLt. 1B Urb. Villa Municipal de Trujillo,"Trujillo, Trujillo",71 a 76 m² tot.,3 dorm.,"S/ 224,000 · USD 59,000"
Jr. Camilo Carrillo 214,"Santa Beatriz, Jesús María",68 a 83 m² tot.,2 a 3 dorm.,"S/ 492,700"
Av. Paseo de la Republica 5613,"Miraflores, Lima",41 a 74 m² tot.,1 a 3 dorm.,"S/ 374,965"
