direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
AV.UNIVERSITARIA CERCA U.CATÓLICA Y UNMSM 1ER.PISO 100M2 3DORM. PATIO,"Los Jardines De La Catolica, Pueblo Libre",100 m² tot.,3 dorm.,"506,000.00","136,000.00"
Ovalo Bolognesi,"Miraflores, Lima",120 m² tot.,2 dorm.,"738,000.00","197,000.00"
Condominio el Encanto de san Diego,"San Martín de Porres, Lima",60 m² tot.,3 dorm.,"160,000.00","42,000.00"
AV DOS DE MAYO SAN ISIDRO,"San Isidro, Lima",134 m² tot.,3 dorm.,"761,090.00","203,500.00"
Av. Aurelio Miro Quesada ,"San Isidro, Lima",173 m² tot.,2 dorm.,"1,406,000.00","370,000.00"
Av. Javier Prado Oeste 2165 - 2177,"Orrantia, San Isidro",67 a 153 m² tot.,1 a 3 dorm.,"572,672.00","152,712.00"
Av. Alejandro Tirado 731,"Santa Beatriz, Lima Cercado",41 a 109 m² tot.,1 a 3 dorm.,"260,666.00","70,450.27"
Av. Razuri 243 - 247,"San Miguel, Lima",32 a 88 m² tot.,1 a 4 dorm.,"261,111.00","70,570.54"
Calle Batallón Concepción 153,"Chacarilla Del Estanque, Santiago de Surco",66 a 197 m² tot.,2 a 3 dorm.,"551,000.00","145,000.00"
Av. Malecón Bertolotto 760,"San Miguel, Lima",33 a 177 m² tot.,1 a 4 dorm.,"235,830.00","63,737.84"
Av. Aramburú 535. San Isidro,"Limatambo, San Isidro",34 a 109 m² tot.,1 a 2 dorm.,"270,376.00","73,074.59"
calle fermin tanguis 160,"Santa Catalina, La Victoria",34 a 73 m² tot.,1 a 3 dorm.,"338,000.00","91,351.35"
Av. Caminos del Inca 236,"Santiago de Surco, Lima",34 a 95 m² tot.,1 a 3 dorm.,"352,450.00","95,256.76"
Casimiro ulloa 328,"Miraflores, Lima",32 a 74 m² tot.,1 a 2 dorm.,"379,957.00","102,691.08"
Av. Javier Prado Este 1507,"Santa Catalina, La Victoria",34 a 78 m² tot.,1 a 3 dorm.,"316,700.00","85,594.59"
Av. Arequipa 748 -768,"Santa Beatriz, Lima Cercado",48 a 71 m² tot.,1 a 2 dorm.,"350,000.00","94,594.59"
Av. del Ejercito 1190,"Santa Cruz, Miraflores",44 a 188 m² tot.,1 a 3 dorm.,"414,449.00","112,013.24"
Avenida Manuel Roaud y Paz Soldan 364,"San Isidro, Lima",35 a 66 m² tot.,1 a 2 dorm.,"403,322.00","109,005.95"
Av. Javier Prado Este 1035,"Santa Catalina, La Victoria",39 a 68 m² tot.,1 a 3 dorm.,"279,000.00","75,405.41"
AV. PETIT THOUARS 1598 - Lince,"Risso, Lince",33 a 71 m² tot.,1 a 3 dorm.,"271,900.00","73,486.49"
AVENIDA LA MAR,"Miraflores, Lima",63 m² tot.,2 dorm.,"590,000.00","159,459.46"
Lince,"Lobaton, Lince",79 m² tot.,3 dorm.,"647,000.00","177,360.00"
Residencial Los Girasoles,"Los Girasoles, Chaclacayo",200 m² tot.,3 dorm.,"486,000.00","130,000.00"
Calle Santa Inés,"Pueblo Libre, Lima",80 m² tot.,3 dorm.,"443,430.00","117,000.00"
"El Mastil 215, La Molina","Las Lagunas, La Molina",210 m² tot.,3 dorm.,"1,217,700.00","330,000.00"
CASA CERCA HOSPITAL REBAGLIATI 153M2 + 1MINIDPTO.,"Santa Beatriz, Jesús María",153 m² tot.,3 dorm.,"1,178,000.00","318,000.00"
AV. Ayacucho al 900,"Los Rosales, Santiago de Surco",194 m² tot.,2 dorm.,"855,000.00","225,000.00"
