direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
"Av. Piedras negras 504, san bartolo","San Bartolo, San Bartolo",67 m² tot.,3 dorm.,"2,800.00",740.00
pasaje andres doria,"Chorrillos, Lima",300 m² tot.,7 dorm.,"9,405.00","2,500.00"
Aviación 131 San Miguel,"San Miguel, Lima",70 m² tot.,3 dorm.,"2,200.00",587.00
Alameda Fray Cipriano de Calatayud,"Chorrillos, Lima",1012 m² tot.,4 dorm.,"13,680.00","3,600.00"
PEDRO MARTINTO,"Barranco, Lima",46 m² tot.,1 dorm.,"2,400.00",648.65
Ca. Lima,"Cercado De Yanahuara, Yanahuara",115 m² tot.,3 dorm.,"2,600.00",702.70
calle los girasoles 124,"Valle Hermoso, Santiago de Surco",160 m² tot.,3 dorm.,"3,562.00","229,000.00"
Calle Saint Saenz 300,"San Borja, Lima",130 m² tot.,3 dorm.,"4,100.00","1,090.00"
Av. Precursores al 1100,"Los Precursores, San Miguel",140 m² tot.,7 dorm.,"8,000.00","2,100.00"
"Av. La Merced 189, urb. El Rosedal , Miraflores","Rosedal, Miraflores",110 m² tot.,4 dorm.,"3,375.00",900.00
Av. La Paz 981,"Miramar, San Miguel",63 m² tot.,2 dorm.,"1,750.00",472.97
MELLO FRANCO,"Jesús María, Lima",70 m² tot.,3 dorm.,"2,200.00",594.59
Miguel Seminario,"San Isidro, Lima",60 m² tot.,2 dorm.,"3,420.00",900.00
jiron las aguilas 284,"Bellavista, Bellavista",69 m² tot.,3 dorm.,"1,600.00",432.43
MALECON,"San Miguel, San Miguel",110 m² tot.,3 dorm.,"1,900.00",480.00
Dirección no informada,"Leuro, Miraflores",120 m² tot.,1 dorm.,"3,740.00","1,000.00"
Avenida San Martin 625,"Barranco, Lima",46 m² tot.,1 dorm.,"2,470.00",650.00
Calle FRANCISCO EGUIGUREN N° S/N,"San Isidro, Lima",409 m² tot.,3 dorm.,"20,790.00","5,500.00"
AVENIDA 2 DE MAYO 1566,"San Isidro, Lima",53 m² tot.,1 dorm.,"2,375.00",630.00
Dirección no informada,"Barranco, Lima",70 m² tot.,1 dorm.,"2,500.00",675.68
Agrupamiento Mi Peru Mz. B2 Lte. 24,"Ventanilla, Callao",160 m² tot.,3 dorm.,"1,800.00",485.00
Pueblo Libre 15084,"Pueblo Libre, Lima",300 m² tot.,5 dorm.,"5,180.00","1,400.00"
SERGIO BERNALES 214,"Aurora Este, Surquillo",160 m² tot.,3 dorm.,"3,400.00",900.00
Jirón Monte Ebano,"Santiago de Surco, Lima",125 m² tot.,3 dorm.,"2,300.00",621.62
Av. Grau 877,"Piura, Piura",70 m² tot.,2 dorm.,"2,500.00",668.00
ISLAS CANARIAS N° 120 PUEBLO LIBRE,"Isla Verde, Pueblo Libre",109 m² tot.,2 dorm.,"2,400.00",648.65
ALAMEDA 1 200,"Callao, Lima",70 m² tot.,2 dorm.,"1,500.00",400.00
Calle WILLIAM ARIAS ROBLES - XX,"Miraflores, Lima",248 m² tot.,3 dorm.,"7,480.00","2,000.00"
"Calle Ricardo Cushing 4, Piura","Piura, Piura",360 m² tot.,3 dorm.,"4,000.00","1,000.00"
av. alberto alexander 2600,"Lince, Lima",43 m² tot.,1 dorm.,"2,500.00",660.00
javier prado este 1220/948963919,"Corpac, San Isidro",145 m² tot.,3 dorm.,"3,995.00","1,110.00"
Av. De La Marina 2015,"San Miguel, Lima",75 m² tot.,3 dorm.,"2,800.00",740.00
parque acuatico grap kids,"Cieneguilla, Cieneguilla",1600 m² tot.,3 dorm.,"2,490.00",650.00
Roca y Boloña 1130 Miraflores,"Aurora, Miraflores",318 m² tot.,4 dorm.,"6,800.00","1,800.00"
a pocos metros de la UPC,"San Miguel, Lima",70 m² tot.,2 dorm.,"1,800.00",486.49
Dirección no informada,"Punta Hermosa, Punta Hermosa",87 m² tot.,2 dorm.,"1,125.00",300.00
Selva alegre,"Selva Alegre, Arequipa",404 m² tot.,15 dorm.,"10,500.00","3,000.00"
Jirón Milet - San Borja,"San Borja Norte, San Borja",470 m² tot.,8 dorm.,"13,000.00","3,500.00"
"AV. SANCHEZ CERRO, PIURA","Piura, Piura",204 m² tot.,3 dorm.,"4,500.00","1,219.00"
CRISTOBAL LOZADA Y PUGA,"San Miguel, Lima",50 m² tot.,1 dorm.,"1,300.00",351.35
"PUEBLO LIBRE, JR. DOMINGO NIETO","Pueblo Libre, Lima",100 m² tot.,2 dorm.,"2,300.00",600.00
Calle Cuzco Num 112 Zona Barrio Norte,"Piura, Piura",104 m² tot.,3 dorm.,"1,400.00",368.00
CAYMA,"Cayma, Arequipa",120 m² tot.,2 dorm.,"2,500.00",680.00
Malecón Cisneros,"Miraflores, Lima",90 m² tot.,1 dorm.,"3,700.00",999.00
calle santander 100,"Miraflores, Lima",101 m² tot.,3 dorm.,"3,665.00",980.00
Av. Alameda de La Molina Vieja 6,"La Molina, Lima",500 m² tot.,4 dorm.,"15,560.00","4,000.00"
Av Rivera Navarrete 28,"Lima, Lima",47 m² tot.,1 dorm.,"8,947.00","2,300.00"
Malecon DE LA MARINA esquina calle Villarreal,"Miraflores, Lima",121 m² tot.,2 dorm.,"5,320.00","1,400.00"
Av. Naciones Unidas 1533,"Lima Cercado, Lima",100 m² tot.,1 dorm.,850.00,229.73
ASUNCION 292,"Santa Patricia, La Molina",70 m² tot.,2 dorm.,"1,500.00",405.41
AV PASEO DE LA REPUBLICA,"Surquillo, Lima",80 m² tot.,3 dorm.,"2,000.00",540.54
Río Huallaga 105,"Salamanca De Monterrico, Ate Vitarte",98 m² tot.,2 dorm.,"1,800.00",486.49
Calle las Fresas,"Miraflores, Lima",250 m² tot.,3 dorm.,"5,852.00","1,540.00"
Av arequipa 5020,"Miraflores, Lima",120 m² tot.,2 dorm.,"5,700.00","1,500.00"
"Avenida Aramburu 3, San Isidro (alt Cruce Aramburu con Paseo de la Republica)","San Isidro, Lima",400 m² tot.,6 dorm.,"13,908.00","3,800.00"
Los lirios,"San Isidro, Lima",50 m² tot.,1 dorm.,"2,438.00",650.00
Urb. Las Quintanas,"Trujillo, Trujillo",69 m² tot.,3 dorm.,"1,700.00",456.00
Parque Manuel Gonzales Prada 157,"San Ignacio, Barranco",134 m² tot.,3 dorm.,"3,484.00",925.00
Los Castaños 271,"Los Casta´┐¢os, San Isidro",83 m² tot.,1 dorm.,"3,600.00",980.00
AV.UNIVERSITARIA 5600 LOS OLIVOS,"Los Olivos, Lima",75 m² tot.,2 dorm.,"1,100.00",297.30
Dirección no informada,"San Gabriel, San Isidro",300 m² tot.,3 dorm.,"17,578.00","4,700.00"
JR. SAN MARTIN 749,"San Miguel, Lima",84 m² tot.,3 dorm.,"1,750.00",472.97
RIVERA NAVARRETE 548,"San Isidro, Lima",70 m² tot.,1 dorm.,"2,700.00",700.00
C. 9 175,"Comas, Lima",64 m² tot.,3 dorm.,"328,950.00","85,000.00"
Dirección no informada,"Santiago, Cusco",200 m² tot.,4 dorm.,"3,402.00",900.00
"MIRAFLORES COUNTRY CLUB, CASTILLA, PIURA","Castilla, Piura",208 m² tot.,5 dorm.,"3,800.00","1,021.00"
Huamachuco,"Jesús María, Lima",136 m² tot.,3 dorm.,"10,000.00","2,702.70"
johnston road,"Santa Cruz, Miraflores",40 m² tot.,1 dorm.,"8,000.00","2,000.00"
JR. ESTADOS UNIDOS 135,"Jesús María, Lima",67 m² tot.,2 dorm.,"2,600.00",702.70
Avenida Las Palmeras 331,"San Isidro, Lima",180 m² tot.,3 dorm.,"5,800.00","1,300.00"
AV.OSCAR BENAVIDES 866,"La Colonial, Lima Cercado",75 m² tot.,1 dorm.,"1,400.00",475.00
Jr Acapulco 175,"El Sol De La Molina Et.1, La Molina",419 m² tot.,4 dorm.,"11,020.00","650,000.00"
Malecon Cisneros,"Miraflores, Lima",150 m² tot.,3 dorm.,"6,750.00","1,800.00"
Av Alameda Del Corregidor 1,"La Molina, Lima",170 m² tot.,3 dorm.,"6,418.00","1,650.00"
MONTE FLOR 470,"Chacarilla Del Estanque, Santiago de Surco",144 m² tot.,3 dorm.,"4,180.00","285,000.00"
"Malecón Malecon DE LA Reserva N° 7xx, Dpto. 6XX","Miraflores, Lima",220 m² tot.,3 dorm.,"11,968.00","3,200.00"
"Nazca 482, Jesus Maria","Jesús María, Lima",90 m² tot.,3 dorm.,"2,800.00",756.76
cerezo 330,"La Calera De La Merced, Surquillo",70 m² tot.,3 dorm.,"2,200.00",594.59
MANUEL OLGUIN 350,"Monterrico, Santiago de Surco",190 m² tot.,3 dorm.,"4,080.00","250,000.00"
Mz. A. Lote 2,"El Mirador, Asia",195 m² tot.,3 dorm.,"10,044.00","2,700.00"
Dirección no informada,"San Isidro, Lima",147 m² tot.,3 dorm.,"6,732.00","1,800.00"
"ASUNCION 288, Santa Patricia, La Molina","Santa Patricia I-etapa, La Molina",47 m² tot.,2 dorm.,"1,350.00",364.86
AV. PACASMAYO FRENTE CHAPERITO SCHOOL,"Callao, Lima",167 m² tot.,4 dorm.,"2,300.00",605.00
av. mariscal la mar 834,"Miraflores, Lima",65 m² tot.,2 dorm.,"3,500.00",921.00
Av SAN MARTIN S/N,"Barranco, Lima",42 m² tot.,1 dorm.,"3,000.00",799.00
Jr. Diana,"Sagitario, Santiago de Surco",103 m² tot.,2 dorm.,"1,900.00",513.51
"Calle LAS Tortolas N°380, Urb. LA Pradera.","La Molina, Lima",1319 m² tot.,3 dorm.,"28,050.00","7,500.00"
Carreta Canta 65.6,"Canta, Lima",250 m² tot.,6 dorm.,"1,700.00",580.00
Av. Tejada,"Miraflores, Lima",55 m² tot.,1 dorm.,"2,800.00",750.00
Playa Vichayito norte Antigua Panamericana Norte Km + Los Organos Talara Piura,"Mancora, Mancora",300 m² tot.,6 dorm.,nan,nan
Carlos Porras Osores 3,"San Isidro, Lima",215 m² tot.,3 dorm.,"8,169.00","2,100.00"
Jirón Francisco Cuellar 3,"Santiago de Surco, Lima",1000 m² tot.,4 dorm.,"19,450.00","5,000.00"
LUIS N. SAENZ 565,"Jesús María, Lima",103 m² tot.,2 dorm.,"2,700.00",729.73
Av Circunvalación del Club Golf los Incas 148 - AMOBLADO MOON - CERCA A LA UNIVERSIDAD DE LIMA,"Club Golf Los Incas, Santiago de Surco",155 m² tot.,3 dorm.,"7,215.00","1,950.00"
tarapoto,"Tarapoto, San Martin",1445 m² tot.,3 dorm.,"7,000.00","1,907.00"
Av los Fresnos al 1800,"La Molina, Lima",90 m² tot.,2 dorm.,"1,400.00",378.38
luis pasteur,"San Isidro, Lima",53 m² tot.,1 dorm.,"2,450.00",650.00
sauces/ 948963919,"Neptuno, Santiago de Surco",220 m² tot.,4 dorm.,"6,475.00","1,750.00"
"Av Juan De Aliaga 1, Cdra. 4, Magdalena","Lima, Lima",420 m² tot.,4 dorm.,"15,725.00","4,250.00"
AV.Universitaria 5600 LOS OLIVOS,"Los Olivos, Lima",75 m² tot.,2 dorm.,900.00,243.24
Av. Cesar Vallejo 1349 Lince,"Lince, Lima",300 m² tot.,3 dorm.,"6,375.00","1,700.00"
Av. Malecón de la Reserva 275,"Miraflores, Lima",125 m² tot.,3 dorm.,"4,180.00","1,100.00"
Calle Anchorena,"San Isidro, Lima",1298 m² tot.,6 dorm.,"67,000.00","18,000.00"
LAUREL ROSA,"Los Sauces, Surquillo",60 m² tot.,2 dorm.,"1,700.00",459.46
"CALLE DOÑA EDELMIRA, SANTIAGO DE SURCO","Los Rosales, Santiago de Surco",75 m² tot.,2 dorm.,"1,800.00","110,000.00"
Avenida Aurelio Miroquesada 990,"San Isidro, Lima",320 m² tot.,3 dorm.,"13,195.00","3,500.00"
Av. Central 977,"Santiago de Surco, Lima",90 m² tot.,4 dorm.,"3,790.00","1,000.00"
MALECON NORTE 1460,"Punta Negra, Lima",110 m² tot.,3 dorm.,"2,500.00",680.00
AV. AURELIO MIRO QUESADA 222,"Country Club, San Isidro",316 m² tot.,4 dorm.,"9,024.00","2,400.00"
ENRIQUE PALACIOS 246 MIRAFLORES,"Miraflores, Lima",40 m² tot.,1 dorm.,"2,090.00",550.00
CERCA A LA AVENIDA MARIATEGUI,"Jesús María, Lima",65 m² tot.,2 dorm.,"1,600.00",432.43
Urb. Natasha Alta,"Trujillo, Trujillo",60 m² tot.,2 dorm.,"2,000.00",540.54
"Urb. Calle, Av. Alameda Del Pinar 6","Comas, Lima",69 m² tot.,2 dorm.,650.00,173.00
Avenida La Capilla 10,"Rímac, Lima",100 m² tot.,3 dorm.,"1,700.00",459.46
CIRCUNVALACION DEL CLUB GOLF LOS INCAS 148 - ALQUILO DEPARTAMENTO DE LUJO AMOBLADO - EDIFICIO MOON,"Club Golf Los Incas, Santiago de Surco",160 m² tot.,3 dorm.,"8,100.00","2,200.00"
Av. Guardia Chalaca 1243,"Callao, Callao",450 m² tot.,7 dorm.,"56,122.00","495,000.00"
urbanizacion las magnolias,"Miraflores, Lima",204 m² tot.,6 dorm.,"9,350.00","2,500.00"
calle kibur,"Rinconada Del Lago, La Molina",48 m² tot.,2 dorm.,"2,300.00",620.00
"ALAMEDA COSTA NORTE 3XX, MZ AE, LOTE 1, URBANIZACION LAS BRISAS","Las Brisas De Villa, Chorrillos",300 m² tot.,3 dorm.,"8,510.00","467,000.00"
Calle La Luna 100,"Santiago de Surco, Lima",90 m² tot.,2 dorm.,"1,800.00",486.49
Calle MORRO SOLAR 390 - 701,"Valle Hermoso Oeste, Santiago de Surco",107 m² tot.,3 dorm.,"3,402.00",900.00
Callahuanca,"Huarochirí, Lima",1000 m² tot.,5 dorm.,"1,400.00",376.00
Av Jose Pardo,"Miraflores, Lima",105 m² tot.,2 dorm.,"3,800.00","1,000.00"
AV. BENAVIDES,"Miraflores, Lima",110 m² tot.,3 dorm.,"2,600.00",685.00
Jr. Ocharán Cda,"Leuro, Miraflores",70 m² tot.,2 dorm.,"2,250.00",610.00
POR PENTAGONITO-CHACARILLA,"San Borja, Lima",126 m² tot.,3 dorm.,"4,900.00","1,300.00"
BOLIVAR,"Miraflores, Lima",98 m² tot.,2 dorm.,"2,960.00",800.00
Asia Km 107 Panamericana Sur,"Asia, Cañete",200 m² tot.,4 dorm.,"9,375.00","2,500.00"
El Sol,"Barranco, Lima",180 m² tot.,2 dorm.,"6,380.00","548,000.00"
"R8G7+Vp5, Piura 20008, Perú","Veintiseis de Octubre, Piura",460 m² tot.,7 dorm.,"4,300.00","147,849.00"
Urb. Alameda del Retablo III,"Comas, Lima",60 m² tot.,1 dorm.,"1,300.00",351.35
JUAN JOSE CALLE,"Aurora, Miraflores",135 m² tot.,2 dorm.,"4,800.00","1,270.00"
"Los Castaños 500, san isidro","Los Casta´┐¢os, San Isidro",170 m² tot.,3 dorm.,"4,900.00","1,300.00"
Las Infantas,"La Molina, Lima",277 m² tot.,4 dorm.,"5,920.00","1,600.00"
El Acantilado de Barranco,"Barranco, Lima",450 m² tot.,4 dorm.,"18,500.00","5,000.00"
Jirón Centenario 1,"Barranco, Lima",40 m² tot.,1 dorm.,"2,723.00",700.00
Jirón José Nicolás Rodrigo 250 Surco,"Santiago de Surco, Lima",51 m² tot.,1 dorm.,"2,600.00",700.00
Espalda colegio Humboldt,"Santiago de Surco, Lima",95 m² tot.,3 dorm.,"2,400.00",650.00
URB. MIRAFLORES CASTILLA PIURA,"Castilla, Piura",183 m² tot.,3 dorm.,"1,700.00",442.00
Av Alfredo Benavides 250 Miraflores,"Jose Balta, Miraflores",70 m² tot.,1 dorm.,"1,700.00",470.00
Malecon Grau,"Chorrillos, Lima",200 m² tot.,3 dorm.,"5,550.00","370,000.00"
"calle San Martin 727,Miraflores","Miraflores, Lima",90 m² tot.,2 dorm.,"3,895.00","1,050.00"
"Jr. Las Uvas 390, surco","Santiago de Surco, Lima",90 m² tot.,3 dorm.,"2,400.00",635.00
Calle 3,"Rinconada Baja, La Molina",1077 m² tot.,5 dorm.,"25,830.00","7,000.00"
Pasaje BRESCIANI S/N,"Barranco, Lima",632 m² tot.,3 dorm.,"21,835.00","5,500.00"
Arenales 2570,"Lince, Lima",58 m² tot.,2 dorm.,"2,600.00",702.70
Calle Sigma E67,"Chacarilla, San Borja",40 m² tot.,2 dorm.,"1,900.00",450.00
Cayma Baja,"Cayma, Arequipa",50 m² tot.,1 dorm.,"1,780.00",473.00
Calle LOS NOGALES 445 - 103,"San Isidro, Lima",276 m² tot.,3 dorm.,"11,904.00","3,200.00"
malecon pazos 126,"Barranco, Lima",470 m² tot.,4 dorm.,"19,855.00","5,500.00"
SANTA INES TRUJILLO,"Santa Ines, Trujillo",90 m² tot.,3 dorm.,"1,800.00",469.00
bello horizonte,"Bello Horizonte, Cayma",1000 m² tot.,5 dorm.,"10,820.00","2,900.00"
ALT CDRA 35 DE AV CAMINOS DEL INCA,"Santiago de Surco, Lima",60 m² tot.,2 dorm.,"1,450.00",391.89
Riverra Navarrete al 2800,"Lince, Lima",45 m² tot.,1 dorm.,"2,200.00",580.00
Manuel Villavicencio al 1191,"Lima, Lima",54 m² tot.,1 dorm.,"2,820.00",600.00
Calle La Serena 196,"Callao, Lima",120 m² tot.,3 dorm.,"1,600.00",420.00
Los Castaños 384,"Chaclacayo, Chaclacayo",1000 m² tot.,3 dorm.,"2,900.00",783.00
Berlín,"Miraflores, Lima",100 m² tot.,3 dorm.,"3,350.00",900.00
"Av. Proceres de Huandoy 4954, Los Olivos","Los Jazmines De Naranjal, Los Olivos",34 m² tot.,1 dorm.,800.00,216.22
Dos de mayo 1799,"San Isidro, Lima",300 m² tot.,3 dorm.,"10,500.00","2,800.00"
Calle Teresa González de Fanning,"Los Olivos, Lima",74 m² tot.,3 dorm.,"1,200.00",317.00
Av. LOS CONQUISTADORES,"Santa Cruz, San Isidro",353 m² tot.,5 dorm.,"24,500.00","1,400,000.00"
condominio los altos del valle,"Tambo Viejo, Cieneguilla",1118 m² tot.,3 dorm.,"7,030.00","1,900.00"
Av. Almte. Miguel Grau 1554,"Barranco, Lima",60 m² tot.,2 dorm.,"2,850.00",750.00
El sol,"Barranco, Lima",40 m² tot.,1 dorm.,"2,400.00",650.00
"Cerca a Jr Echenique, Magdalena","Magdalena, Lima",70 m² tot.,2 dorm.,"1,450.00",388.00
av. nuñez de balboa 1268,"Miraflores, Lima",220 m² tot.,2 dorm.,"4,350.00","1,155.00"
ARENALES,"Lince, Lima",30 m² tot.,1 dorm.,"1,000.00",270.27
Almirante Lord Nelson,"Miraflores, Lima",58 m² tot.,1 dorm.,"2,600.00",700.00
Av. Precursores 4,"Chacarilla Del Estanque, Santiago de Surco",217 m² tot.,3 dorm.,"5,835.00","1,500.00"
Calle ALGUACILES 3XX,"Las Gardenias, Santiago de Surco",250 m² tot.,5 dorm.,"14,960.00","4,000.00"
La Republica,"San Isidro, Lima",30 m² tot.,1 dorm.,"1,850.00",500.00
Municipalidad de Carabayllo,"Carabayllo, Lima",99 m² tot.,3 dorm.,800.00,216.22
ENRIQUE PALACIOS XXX,"Miraflores, Lima",95 m² tot.,3 dorm.,"2,797.00",763.00
SANTA MARGARITA PIURA,"Piura, Piura",103 m² tot.,3 dorm.,"1,500.00",395.00
Martinto 114,"Barranco, Lima",41 m² tot.,1 dorm.,"2,200.00","125,000.00"
Av. Arequipa,"Cayma, Arequipa",180 m² tot.,4 dorm.,"2,950.00","185,000.00"
Condominio La Raya Cieneguilla,"Lima, Lima",1012 m² tot.,4 dorm.,800.00,208.00
Jr Jose Nicolas Rodrigo 365 Santiago de Surco,"Santiago de Surco, Lima",157 m² tot.,3 dorm.,"5,180.00","1,400.00"
Calle Andrómeda #700 -chorrillos,"Chorrillos, Lima",62 m² tot.,3 dorm.,"2,200.00",594.59
Los Cedros Cdra 6,"Golf, San Isidro",554 m² tot.,3 dorm.,"25,550.00","7,000.00"
MACHAYPUITO,"San Isidro, Lima",110 m² tot.,3 dorm.,"5,580.00","315,000.00"
General Silva 200,"Miraflores, Lima",87 m² tot.,2 dorm.,"4,015.00","1,050.00"
Baja Balta,"Miraflores, Lima",91 m² tot.,2 dorm.,"3,500.00",950.00
Calle Colon 181,"Miraflores, Lima",104 m² tot.,2 dorm.,"3,330.00",900.00
Dpto. en Alquiler Temporario - Calle Tarata Miraflores,"Leuro, Miraflores",55 m² tot.,1 dorm.,"3,500.00",780.00
Calle San Martin Santa patricia II etapa La Molina,"Santa Patricia Etapa Ii, La Molina",100 m² tot.,1 dorm.,"2,500.00",675.68
Ca. coronel juan castilla,"Las Gardenias, Santiago de Surco",240 m² tot.,4 dorm.,"5,000.00","1,200.00"
El Cascajal. Casuarinas. Surco,"Santiago de Surco, Lima",1273 m² tot.,5 dorm.,"16,650.00","4,500.00"
LOS ARCES,"Los Arces, Cayma",65 m² tot.,2 dorm.,"2,460.00",650.00
Av Camino Real 9,"San Isidro, Lima",409 m² tot.,4 dorm.,"19,000.00","5,000.00"
Av. José Pardo,"Miraflores, Lima",106 m² tot.,2 dorm.,"4,536.00","1,200.00"
Teniente Diego Ferré,"Santiago de Surco, Lima",86 m² tot.,5 dorm.,"2,000.00",540.54
Hermano Lobo 1,"San Borja, Lima",340 m² tot.,4 dorm.,"9,500.00","2,500.00"
Av. Javier Prado Oeste,"San Isidro, Lima",159 m² tot.,3 dorm.,"4,500.00","270,000.00"
"Malecon de la Reserva 4, dep 5, Miraflores","Miraflores, Lima",182 m² tot.,3 dorm.,"12,950.00","3,500.00"
Carlos E. Ferreyros U. 501,"San Isidro, Lima",155 m² tot.,3 dorm.,"4,650.00","1,250.00"
Pasaje Fidelli 160,"Barranco, Lima",35 m² tot.,1 dorm.,"1,950.00",500.00
BUENAVISTA,"Chacarilla Del Estanque, San Borja",196 m² tot.,3 dorm.,"3,700.00","1,050.00"
Jr Lauricocha 269,"Santiago de Surco, Lima",120 m² tot.,3 dorm.,"2,900.00",775.00
Ca. Franz Schubert 301,"San Borja, Lima",102 m² tot.,2 dorm.,"2,690.00",715.00
Calle MANUEL GONZALES OLAECHEA,"San Isidro, Lima",385 m² tot.,12 dorm.,"9,120.00","2,850.00"
Malecón Cisneros 214,"Miraflores, Lima",135 m² tot.,2 dorm.,"5,510.00","1,450.00"
Mz A3 Lote 53 Urb. Sol De Piura 3Era Etapa-,"Veintiseis de Octubre, Piura",70 m² tot.,2 dorm.,900.00,243.00
av. manuel olguin 884,"Santiago de Surco, Lima",170 m² tot.,3 dorm.,"4,180.00","260,000.00"
Calle Albatros,"San Pedro, Santiago de Surco",140 m² tot.,1 dorm.,"1,200.00",325.00
Av. La Floresta 365. San Borja,"Chacarilla Del Estanque, San Borja",173 m² tot.,3 dorm.,"6,392.00","1,700.00"
"Pedro Martinto, , Barranco","Barranco, Lima",42 m² tot.,1 dorm.,"2,100.00",570.00
Casa Vieja 1,"Lima, Lima",250 m² tot.,4 dorm.,"12,950.00","3,500.00"
Calle Tuman Collasuyo 214,"Santiago de Surco, Lima",390 m² tot.,4 dorm.,"12,090.00","3,250.00"
malecon cisneros 214,"Miraflores, Lima",120 m² tot.,3 dorm.,"6,750.00","1,800.00"
"av. aurelio miro quesada, 240","Golf, San Isidro",2002 m² tot.,3 dorm.,"5,180.00","520,000.00"
Malecon de la Marina,"Miraflores, Lima",120 m² tot.,2 dorm.,"4,848.00","1,300.00"
Dirección no informada,"Sachaca, Arequipa",283 m² tot.,6 dorm.,"2,500.00",675.00
comandante gustavo jimenez 559,"Pershing, Magdalena",38 m² tot.,1 dorm.,"1,700.00",459.00
Dirección no informada,"San Borja, Lima",270 m² tot.,4 dorm.,"7,254.00","1,950.00"
Av. Angamos Oeste y Av Arequipa - Mirafloes,"Miraflores, Lima",87 m² tot.,3 dorm.,"2,600.00",700.00
LOS DIAMANTES 342 LOS OLIVOS,"Cajabamba, Los Olivos",148 m² tot.,4 dorm.,"1,700.00",459.46
Nazarenas,"Santiago de Surco, Lima",100 m² tot.,3 dorm.,"2,700.00","195,500.00"
El Rosario 1,"Miraflores, Lima",211 m² tot.,2 dorm.,"8,558.00","2,200.00"
Independencia,"Miraflores, Lima",232 m² tot.,3 dorm.,"4,500.00","1,300.00"
AV JoseLeal 1585 San Isidro,"San Isidro, Lima",30 m² tot.,1 dorm.,"1,280.00",345.95
Av. Universitaria 1900,"Pueblo Libre, Lima",78 m² tot.,3 dorm.,"2,300.00",621.62
"Vista al Mar, Malecon Reserva, Miraflores","Miraflores, Lima",200 m² tot.,3 dorm.,"5,920.00","1,600.00"
porta,"Miraflores, Lima",102 m² tot.,3 dorm.,"4,180.00","1,100.00"
"Mz U1 Lote 13 Urb Miraflores, V Etapa Dpto 501 Miraflores, Castilla, Piura","Castilla, Piura",101 m² tot.,3 dorm.,"1,500.00",402.00
Av. Huarochiri 475,"La Molina, Lima",126 m² tot.,3 dorm.,"2,000.00",540.54
Avenida Francisco Javier Mariategui 1368- Jesús María,"Portada De Jesus Maria, Jesús María",80 m² tot.,3 dorm.,"2,300.00",620.00
Ignacio Merino,"Miraflores, Lima",158 m² tot.,2 dorm.,"5,500.00","1,400.00"
"jiron rio de janeiro , jesus maria","Oyague, Jesús María",300 m² tot.,7 dorm.,"7,206.00","1,900.00"
jose gonzales,"Malecon Reserva, Miraflores",65 m² tot.,1 dorm.,"2,800.00",750.00
Parque Los Geranios,"San Juan de Miraflores, Lima",90 m² tot.,2 dorm.,"1,150.00",300.00
Parque Privado Blume,"Miraflores, Lima",80 m² tot.,1 dorm.,"3,700.00","1,000.00"
calle retiro,"Santa Cruz, Miraflores",30 m² tot.,1 dorm.,"8,000.00","2,000.00"
Dirección no informada,"Los Granados, Santiago de Surco",269 m² tot.,3 dorm.,"7,560.00","2,300.00"
Ladoga 1,"La Molina, Lima",190 m² tot.,3 dorm.,"13,615.00","3,500.00"
Av. Santiago Antunez De Mayolo & Av. Universitaria,"San Martín de Porres, Lima",100 m² tot.,2 dorm.,"1,502.00",326.00
"Calle Rosseau 358, San Borja","San Borja, Lima",115 m² tot.,3 dorm.,"3,145.00",850.00
costa peruana 1896,"El Silencio, Punta Hermosa",125 m² tot.,4 dorm.,"4,625.00","249,000.00"
Av Tomás Marsano,"Santiago de Surco, Lima",176 m² tot.,3 dorm.,"3,000.00",810.00
"Jr. Huancavelica 1505, Piura 20001, Perú","Piura, Piura",110 m² tot.,3 dorm.,"1,200.00",320.00
Andrés Guzman,"San Juan de Miraflores, Lima",65 m² tot.,2 dorm.,"1,200.00",324.32
malecon grau 117,"Chorrillos, Lima",84 m² tot.,3 dorm.,"3,170.00",850.00
Miraflores,"Miraflores, Lima",100 m² tot.,3 dorm.,"3,400.00","228,000.00"
JAVIER PRADO 1267,"Los Manzanos, San Isidro",48 m² tot.,1 dorm.,"2,000.00",540.54
Las orquideas,"San Isidro, Trujillo",50 m² tot.,1 dorm.,790.00,210.00
AV.UNIVERSITARIA LOS OLIVOS,"Los Olivos, Lima",75 m² tot.,2 dorm.,900.00,243.24
"Calle Santander 147, Miraflores","Miraflores, Lima",103 m² tot.,3 dorm.,"3,885.00","1,050.00"
Malecón MALECON CISNEROS ESQ ROMA -,"Miraflores, Lima",180 m² tot.,3 dorm.,"7,410.00","1,950.00"
"HORTENSIAS DE CALIFORNIA, TRUJILLO","Victor Larco Herrera, Trujillo",140 m² tot.,4 dorm.,"2,300.00",621.62
Av Diagonal,"Miraflores, Lima",169 m² tot.,2 dorm.,"7,980.00","295,000.00"
Av. Circunvalación Golf Los Incas 5,"Santiago de Surco, Lima",220 m² tot.,2 dorm.,"9,336.00","2,400.00"
Aldebarán 570 Santiago de Surco,"Aldebaran, Santiago de Surco",64 m² tot.,1 dorm.,"2,200.00",580.00
"avenida las gaviotas 123, chorrillos","Santa Leonor, Chorrillos",62 m² tot.,2 dorm.,"1,800.00",486.49
Santa Isabel,"Malecon Reserva, Miraflores",280 m² tot.,4 dorm.,"16,650.00","4,500.00"
